timestamps,TP9,AF7,AF8,TP10,Right AUX
1680449284.363,-44.434,-28.320,-18.066,-33.691,0.000
1680449284.367,-46.875,-28.320,-28.320,-28.809,0.000
1680449284.371,-28.320,-28.320,-31.738,-44.434,0.000
1680449284.375,-10.254,-26.855,-31.250,-51.758,0.000
1680449284.379,-38.574,-26.367,-36.621,-35.156,0.000
1680449284.383,-42.480,-29.785,-33.203,-19.043,0.000
1680449284.387,-32.715,-31.738,-30.273,-9.766,0.000
1680449284.391,-33.203,-33.691,-28.320,-29.297,0.000
1680449284.395,-37.109,-30.762,-27.344,-45.410,0.000
1680449284.399,-55.176,-25.391,-26.855,-45.898,0.000
1680449284.403,-41.016,-24.414,-29.297,-49.316,0.000
1680449284.406,-32.715,-27.832,-30.273,-53.223,0.000
1680449284.410,-29.785,-28.320,-28.320,-46.387,0.000
1680449284.414,-29.297,-27.832,-31.250,-19.043,0.000
1680449284.418,-39.551,-31.250,-29.297,-2.930,0.000
1680449284.422,-33.691,-31.738,-23.438,-18.066,0.000
1680449284.426,-24.902,-32.227,-25.879,-37.598,0.000
1680449284.430,-35.156,-30.762,-30.762,-51.270,0.000
1680449284.434,-46.875,-31.250,-25.879,-43.945,0.000
1680449284.438,-45.898,-27.344,-20.020,-16.113,0.000
1680449284.442,-43.457,-22.949,-21.484,-10.742,0.000
1680449284.446,-34.668,-28.809,-25.391,-41.504,0.000
1680449284.449,-38.574,-36.621,-28.809,-53.223,0.000
1680449284.453,-62.012,-37.109,-27.832,-41.504,0.000
1680449284.457,-62.988,-34.668,-27.832,-42.480,0.000
1680449284.461,-47.363,-29.785,-32.227,-43.457,0.000
1680449284.465,-27.344,-30.273,-34.180,-44.922,0.000
1680449284.469,-11.719,-36.621,-28.809,-52.734,0.000
1680449284.473,-53.711,-32.715,-32.715,-50.293,0.000
1680449284.477,-63.477,-29.297,-34.668,-43.457,0.000
1680449284.481,-35.645,-29.297,-31.738,-25.391,0.000
1680449284.485,-38.574,-30.762,-32.227,-26.367,0.000
1680449284.488,-33.691,-23.438,-30.762,-32.227,0.000
1680449284.492,2.930,-20.996,-33.203,-30.762,0.000
1680449284.496,-0.977,-24.414,-34.668,-45.410,0.000
1680449284.500,-44.434,-20.996,-31.250,-38.574,0.000
1680449284.504,-49.316,-22.461,-33.203,-25.879,0.000
1680449284.508,-41.016,-25.391,-32.227,-25.391,0.000
1680449284.512,-37.598,-31.250,-26.855,-41.016,0.000
1680449284.516,-28.809,-32.227,-23.438,-37.598,0.000
1680449284.520,-12.695,-26.367,-24.902,-11.230,0.000
1680449284.524,-12.207,-34.180,-28.320,-40.039,0.000
1680449284.528,-33.691,-36.133,-28.809,-56.641,0.000
1680449284.531,-41.016,-26.855,-27.344,-50.781,0.000
1680449284.535,-43.457,-27.832,-25.879,-48.828,0.000
1680449284.539,-37.109,-33.691,-28.809,-32.715,0.000
1680449284.543,-29.297,-33.203,-27.832,-27.832,0.000
1680449284.547,-45.410,-32.227,-28.320,-30.273,0.000
1680449284.551,-51.758,-33.203,-31.250,-39.551,0.000
1680449284.555,-29.785,-31.738,-24.414,-41.016,0.000
1680449284.559,-28.809,-36.133,-13.672,-30.273,0.000
1680449284.563,-31.250,-36.621,-24.902,-20.996,0.000
1680449284.567,-30.762,-31.738,-31.250,-28.320,0.000
1680449284.571,-39.551,-33.691,-29.785,-39.062,0.000
1680449284.574,-52.246,-36.133,-33.203,-48.340,0.000
1680449284.578,-38.574,-32.715,-28.809,-49.316,0.000
1680449284.582,-33.203,-33.691,-28.320,-36.133,0.000
1680449284.586,-43.457,-33.691,-27.344,-38.086,0.000
1680449284.590,-33.691,-33.203,-26.367,-43.945,0.000
1680449284.594,-27.344,-32.715,-25.879,-36.133,0.000
1680449284.598,-28.320,-28.809,-25.391,-34.180,0.000
1680449284.602,-25.879,-28.320,-21.484,-26.367,0.000
1680449284.606,-26.855,-33.203,-22.461,-45.898,0.000
1680449284.610,-20.508,-29.785,-31.738,-43.945,0.000
1680449284.613,-14.160,-25.879,-26.855,-27.832,0.000
