timestamps,TP9,AF7,AF8,TP10,Right AUX
1680451581.631,-29.297,-24.902,-37.598,-43.457,0.000
1680451581.635,-63.965,-41.016,-33.691,-54.199,0.000
1680451581.639,-53.711,-48.340,-31.250,-29.297,0.000
1680451581.643,-44.922,-39.551,-36.133,-27.344,0.000
1680451581.647,-47.363,-31.738,-43.457,-43.457,0.000
1680451581.651,-43.457,-33.203,-43.945,-40.039,0.000
1680451581.655,-58.105,-31.250,-39.551,-50.781,0.000
1680451581.659,-68.359,-29.785,-35.156,-63.477,0.000
1680451581.662,-58.105,-31.738,-36.621,-49.805,0.000
1680451581.666,-41.016,-33.203,-33.691,-42.480,0.000
1680451581.670,-41.504,-28.320,-33.203,-45.410,0.000
1680451581.674,-49.805,-21.973,-33.691,-41.992,0.000
1680451581.678,-51.270,-28.809,-31.250,-37.598,0.000
1680451581.682,-55.176,-31.250,-31.250,-39.551,0.000
1680451581.686,-44.434,-30.273,-25.391,-36.133,0.000
1680451581.690,-41.992,-37.598,-20.996,-36.621,0.000
1680451581.694,-40.527,-36.133,-31.738,-40.039,0.000
1680451581.698,-36.133,-35.645,-36.621,-26.367,0.000
1680451581.702,-41.016,-41.504,-28.320,-22.949,0.000
1680451581.705,-32.227,-36.621,-22.949,-21.484,0.000
1680451581.709,-45.898,-35.645,-25.391,-23.438,0.000
1680451581.713,-62.012,-38.086,-30.762,-43.457,0.000
1680451581.717,-52.246,-33.691,-38.086,-51.270,0.000
1680451581.721,-39.062,-29.297,-41.504,-38.574,0.000
1680451581.725,-44.922,-27.832,-40.527,-44.434,0.000
1680451581.729,-62.988,-35.645,-42.480,-62.012,0.000
1680451581.733,-59.570,-45.410,-24.902,-51.758,0.000
1680451581.737,-56.152,-41.992,-14.648,-35.156,0.000
1680451581.741,-49.805,-33.203,-40.039,-30.273,0.000
1680451581.744,-47.363,-31.738,-46.387,-40.039,0.000
1680451581.748,-57.617,-35.645,-38.574,-52.734,0.000
1680451581.752,-65.918,-34.668,-35.156,-57.617,0.000
1680451581.756,-56.641,-34.668,-34.180,-46.387,0.000
1680451581.760,-41.504,-36.133,-26.855,-18.555,0.000
1680451581.764,-45.410,-33.691,-27.832,-21.973,0.000
1680451581.768,-67.871,-35.645,-31.738,-48.828,0.000
1680451581.772,-71.289,-35.645,-30.273,-45.410,0.000
1680451581.776,-47.852,-40.527,-25.391,-29.297,0.000
1680451581.780,-35.156,-41.504,-17.090,-18.555,0.000
1680451581.784,-35.645,-38.574,-21.973,-20.020,0.000
1680451581.787,-30.762,-37.598,-22.949,-19.531,0.000
1680451581.791,-23.438,-37.109,-17.090,-11.719,0.000
1680451581.795,-31.250,-39.551,-21.484,-18.066,0.000
1680451581.799,-29.785,-32.227,-33.203,-37.598,0.000
1680451581.803,-15.137,-22.461,-39.551,-43.945,0.000
1680451581.807,-41.016,-29.785,-34.180,-45.410,0.000
1680451581.811,-68.359,-40.039,-28.809,-62.500,0.000
1680451581.815,-78.125,-36.621,-29.785,-71.289,0.000
1680451581.819,-62.988,-33.691,-30.762,-46.875,0.000
