Attention,Meditation,Low-Alpha,Hight-Alpha,Low-Beta,High Beta,Low-Gamma,Mid-Gamma,Raw-Value,Delta,Theta,Class
80,61,22574,9430,9435,20637,5537,5644,52,95775,60029,1
80,61,22574,9430,9435,20637,5537,5644,66,95775,60029,1
80,61,22574,9430,9435,20637,5537,5644,36,95775,60029,1
80,61,22574,9430,9435,20637,5537,5644,80,95775,60029,1
80,61,22574,9430,9435,20637,5537,5644,41,95775,60029,1
80,61,22574,9430,9435,20637,5537,5644,40,95775,60029,1
80,61,22574,9430,9435,20637,5537,5644,50,95775,60029,1
80,61,22574,9430,9435,20637,5537,5644,-5,95775,60029,1
63,50,18798,5319,5288,8068,2847,4705,39,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,65,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,50,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,52,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,60,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,20,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,100,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,89,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,60,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,82,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,102,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,173,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,429,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,-145,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,-168,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,2,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,22,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,59,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,71,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,69,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,81,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,50,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,12,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,-4,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,115,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,53,26504,64709,1
63,50,18798,5319,5288,8068,2847,4705,22,26504,64709,1
77,40,3829,1454,7135,2758,1026,1020,3,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,-8,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,12,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,8,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,-55,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,38,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,-14,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,43,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,48,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,81,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,70,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,130,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,74,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,72,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,84,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,-25,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,-20,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,16,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,5,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,402,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,417,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,218,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,13,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,-318,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,-322,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,-121,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,24,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,7,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,136,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,104,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,162,126934,10166,1
77,40,3829,1454,7135,2758,1026,1020,20,126934,10166,1
94,40,10782,2119,3264,3527,2550,1256,86,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,16,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,59,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,98,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,100,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,60,242180,18357,1
