timestamps,TP9,AF7,AF8,TP10,Right AUX
1680448956.583,-24.414,-37.598,-17.578,-18.066,0.000
1680448956.587,-27.832,-33.203,-34.180,-32.227,0.000
1680448956.591,-35.156,-26.367,-36.621,-18.066,0.000
1680448956.595,-15.137,-26.855,-32.715,-21.484,0.000
1680448956.599,-18.066,-25.391,-32.227,-11.230,0.000
1680448956.603,-2.930,-22.949,-31.738,1.953,0.000
1680448956.607,7.324,-23.438,-36.133,-41.016,0.000
1680448956.610,-23.438,-28.320,-44.922,-57.617,0.000
1680448956.614,-40.527,-30.762,-40.039,-45.898,0.000
1680448956.618,-23.438,-26.367,-33.691,-21.484,0.000
1680448956.622,-14.160,-30.273,-34.668,3.906,0.000
1680448956.626,-21.973,-31.250,-30.762,-14.648,0.000
1680448956.630,9.766,-33.203,-35.156,-39.062,0.000
1680448956.634,0.000,-36.621,-37.598,-23.926,0.000
1680448956.638,-21.484,-32.715,-30.762,2.441,0.000
1680448956.642,-9.766,-33.691,-19.043,0.977,0.000
1680448956.646,-16.113,-32.227,-25.391,-16.113,0.000
1680448956.650,-24.414,-21.484,-39.062,-20.996,0.000
1680448956.653,-10.742,-25.879,-38.574,-7.812,0.000
1680448956.657,4.883,-31.250,-38.574,11.719,0.000
1680448956.661,-9.277,-25.879,-37.109,-3.906,0.000
1680448956.665,16.113,-22.461,-33.691,-31.250,0.000
1680448956.669,29.785,-25.879,-41.992,-41.992,0.000
1680448956.673,-15.625,-21.484,-41.504,-38.574,0.000
1680448956.677,-42.480,-22.461,-37.109,-30.762,0.000
1680448956.681,-40.039,-31.250,-38.574,-23.438,0.000
1680448956.685,-34.180,-33.691,-25.391,-22.949,0.000
1680448956.689,-25.391,-38.574,-19.531,-23.926,0.000
1680448956.692,-9.766,-35.156,-35.156,-8.789,0.000
1680448956.696,0.000,-28.809,-32.227,-5.371,0.000
1680448956.700,-12.207,-29.297,-28.320,7.812,0.000
1680448956.704,-8.301,-29.297,-29.785,18.555,0.000
1680448956.708,2.441,-33.203,-30.762,-19.043,0.000
1680448956.712,-20.020,-37.109,-34.180,-30.762,0.000
1680448956.716,-45.410,-30.762,-30.273,-28.320,0.000
1680448956.720,-24.902,-26.367,-19.043,-25.879,0.000
1680448956.724,-5.859,-32.227,-24.902,-29.297,0.000
1680448956.728,-41.992,-36.621,-36.621,-41.992,0.000
1680448956.732,-29.785,-39.062,-19.531,-32.227,0.000
1680448956.735,13.672,-34.180,-21.973,-26.367,0.000
1680448956.739,-17.578,-27.344,-33.691,-28.809,0.000
1680448956.743,-41.016,-29.297,-30.762,-35.645,0.000
1680448956.747,-25.391,-38.086,-37.598,-41.504,0.000
1680448956.751,-14.648,-36.133,-41.504,-38.086,0.000
1680448956.755,-13.184,-26.367,-36.621,-21.973,0.000
1680448956.759,-26.855,-32.715,-34.180,-30.762,0.000
1680448956.763,-39.062,-38.086,-37.598,-34.668,0.000
1680448956.767,-12.207,-33.203,-37.109,-20.020,0.000
1680448956.771,6.348,-33.203,-41.992,-21.484,0.000
1680448956.775,-35.645,-34.668,-22.949,-48.340,0.000
1680448956.778,-41.504,-33.203,0.000,-21.484,0.000
1680448956.782,-29.785,-29.297,-20.020,-10.742,0.000
1680448956.786,-37.109,-29.297,-36.621,-42.480,0.000
1680448956.790,-44.922,-34.180,-37.109,-38.086,0.000
1680448956.794,-32.227,-30.273,-32.715,-26.855,0.000
1680448956.798,-16.602,-28.320,-33.691,-25.391,0.000
1680448956.802,-27.344,-32.715,-35.156,-29.297,0.000
1680448956.806,-29.297,-35.156,-35.156,-34.180,0.000
1680448956.810,-36.133,-36.133,-36.621,-51.270,0.000
1680448956.814,-55.176,-29.785,-36.133,-36.133,0.000
1680448956.817,-47.852,-20.020,-34.668,-16.113,0.000
1680448956.821,-25.391,-26.367,-15.137,-29.297,0.000
1680448956.825,-35.645,-28.809,-17.090,-30.762,0.000
1680448956.829,-39.062,-24.902,-38.086,-37.109,0.000
1680448956.833,-32.227,-30.273,-32.227,-52.734,0.000
1680448956.837,-41.016,-31.738,-27.344,-41.992,0.000
1680448956.841,-46.875,-29.785,-27.344,-29.785,0.000
1680448956.845,-35.156,-33.203,-23.926,-32.715,0.000
1680448956.849,-4.883,-33.691,-26.855,-26.367,0.000
1680448956.853,-14.160,-32.715,-34.180,-32.715,0.000
1680448956.857,-11.230,-32.715,-31.250,-42.480,0.000
1680448956.860,-4.883,-26.855,-30.273,-23.438,0.000
1680448956.864,-44.922,-32.227,-18.555,-47.363,0.000
1680448956.868,-43.457,-37.598,-8.301,-59.082,0.000
1680448956.872,-39.062,-31.250,-27.832,-30.762,0.000
1680448956.876,-29.785,-32.227,-34.180,-28.320,0.000
1680448956.880,-56.152,-35.645,-31.250,-39.062,0.000
1680448956.884,-59.570,-32.227,-29.785,-44.434,0.000
1680448956.888,-30.273,-33.691,-34.180,-59.570,0.000
1680448956.892,-29.297,-39.551,-39.062,-63.477,0.000
1680448956.896,-19.043,-35.156,-35.156,-41.504,0.000
1680448956.900,-12.207,-29.297,-30.762,-27.344,0.000
1680448956.903,-46.875,-33.203,-30.273,-37.598,0.000
1680448956.907,-45.898,-33.691,-40.039,-35.156,0.000
1680448956.911,-27.344,-41.016,-29.297,-33.691,0.000
1680448956.915,-34.668,-46.387,-25.879,-40.039,0.000
1680448956.919,-38.574,-37.109,-35.645,-32.227,0.000
1680448956.923,-60.059,-34.668,-27.832,-23.438,0.000
1680448956.927,-53.711,-30.273,-30.273,-36.621,0.000
1680448956.931,-42.969,-26.367,-38.086,-59.082,0.000
1680448956.935,-32.715,-29.785,-37.109,-39.551,0.000
