timestamps,TP9,AF7,AF8,TP10
1683643923.117,-17.578,-20.020,-11.719,-28.809
1683643923.121,-40.527,-30.273,-21.484,-41.504
1683643923.125,-52.734,-45.898,-47.363,-41.016
1683643923.129,-43.457,-47.852,-40.039,-36.621
1683643923.133,-41.504,-45.898,-23.438,-40.039
1683643923.137,-36.133,-41.504,-12.695,-40.039
1683643923.141,-29.297,-27.832,-25.391,-37.109
1683643923.144,-25.879,-29.297,-33.691,-33.203
1683643923.148,-26.367,-38.086,-22.461,-34.668
1683643923.152,-27.344,-38.086,-25.879,-30.273
1683643923.156,-28.809,-31.250,-30.762,-28.320
1683643923.160,-31.738,-33.203,-20.020,-33.203
1683643923.177,-31.738,-28.809,-17.578,-35.645
1683643923.181,-36.621,-26.855,-20.996,-41.016
1683643923.185,-35.645,-22.949,-25.391,-39.551
1683643923.189,-25.391,-24.414,-18.555,-22.461
1683643923.193,-32.715,-37.109,-20.508,-26.855
1683643923.197,-39.551,-47.363,-24.902,-42.480
1683643923.201,-30.273,-45.410,-35.156,-33.691
1683643923.204,-32.715,-35.156,-55.176,-33.691
1683643923.208,-34.668,-20.996,-26.855,-38.086
1683643923.212,-29.297,-11.230,-1.465,-38.574
1683643923.216,-42.480,-18.066,-28.320,-43.945
1683643923.220,-49.805,-34.668,-38.574,-41.992
1683643923.177,-31.738,-28.809,-17.578,-35.645
1683643923.181,-36.621,-26.855,-20.996,-41.016
1683643923.185,-35.645,-22.949,-25.391,-39.551
1683643923.189,-25.391,-24.414,-18.555,-22.461
1683643923.193,-32.715,-37.109,-20.508,-26.855
1683643923.197,-39.551,-47.363,-24.902,-42.480
1683643923.201,-30.273,-45.410,-35.156,-33.691
1683643923.204,-32.715,-35.156,-55.176,-33.691
1683643923.208,-34.668,-20.996,-26.855,-38.086
1683643923.212,-29.297,-11.230,-1.465,-38.574
1683643923.216,-42.480,-18.066,-28.320,-43.945
1683643923.220,-49.805,-34.668,-38.574,-41.992
1683643923.222,-32.227,-35.156,-25.879,-27.832
1683643923.226,-28.809,-24.902,-18.555,-20.996
1683643923.230,-29.785,-22.949,-35.156,-23.926
1683643923.234,-18.555,-27.832,-41.016,-26.367
1683643923.238,-26.367,-37.598,-26.855,-28.809
1683643923.242,-36.133,-48.828,-24.414,-28.320
1683643923.246,-36.621,-36.621,-24.414,-39.062
1683643923.249,-29.297,-3.906,-23.926,-40.527
1683643923.253,-28.320,-17.578,-36.621,-43.945
1683643923.257,-38.574,-39.062,-36.133,-46.875
1683643923.261,-35.156,-27.832,-19.531,-34.180
1683643923.265,-31.250,-37.598,-25.879,-33.691
1683643923.222,-32.227,-35.156,-25.879,-27.832
1683643923.226,-28.809,-24.902,-18.555,-20.996
1683643923.230,-29.785,-22.949,-35.156,-23.926
1683643923.234,-18.555,-27.832,-41.016,-26.367
1683643923.238,-26.367,-37.598,-26.855,-28.809
1683643923.242,-36.133,-48.828,-24.414,-28.320
1683643923.246,-36.621,-36.621,-24.414,-39.062
1683643923.249,-29.297,-3.906,-23.926,-40.527
1683643923.253,-28.320,-17.578,-36.621,-43.945
1683643923.257,-38.574,-39.062,-36.133,-46.875
1683643923.261,-35.156,-27.832,-19.531,-34.180
1683643923.265,-31.250,-37.598,-25.879,-33.691
1683643923.267,-17.090,-36.133,-17.090,-23.926
1683643923.271,-7.812,-17.578,-15.137,-13.184
1683643923.275,-29.785,-29.297,-39.551,-27.344
1683643923.279,-42.480,-24.902,-34.668,-34.180
1683643923.283,-44.922,-19.043,-23.438,-32.715
1683643923.287,-35.156,-40.527,-31.250,-23.926
1683643923.291,-23.926,-45.898,-39.062,-24.414
1683643923.294,-35.156,-41.504,-32.227,-32.227
1683643923.298,-35.645,-31.250,-22.949,-28.320
1683643923.302,-33.203,-19.531,-24.902,-31.738
1683643923.306,-36.621,-20.020,-30.762,-32.227
1683643923.310,-30.273,-18.066,-27.832,-32.227
1683643923.312,-35.156,-16.602,-24.902,-37.109
1683643923.316,-37.109,-19.531,-35.645,-25.391
1683643923.320,-31.250,-50.781,-28.809,-22.949
1683643923.324,-20.508,-48.828,-25.879,-22.461
1683643923.328,-18.555,-18.066,-26.367,-21.484
1683643923.332,-16.602,-11.230,-9.277,-10.742
1683643923.336,-22.949,-20.020,-15.625,-20.996
1683643923.339,-38.574,-37.598,-38.086,-36.621
1683643923.343,-35.156,-39.551,-42.969,-30.273
1683643923.347,-30.762,-22.949,-39.551,-32.227
1683643923.351,-33.203,-25.391,-27.344,-28.809
1683643923.355,-31.250,-42.480,-18.555,-23.438
1683643923.357,-28.809,-34.668,-23.926,-21.973
1683643923.361,-27.344,-23.438,-26.367,-22.949
1683643923.365,-29.297,-27.832,-29.297,-27.832
1683643923.369,-41.016,-19.043,-38.574,-34.668
1683643923.373,-40.039,-10.254,-37.598,-30.762
1683643923.377,-34.180,-22.949,-19.531,-29.297
1683643923.381,-29.785,-30.273,-18.555,-34.668
1683643923.384,-25.879,-37.598,-30.273,-36.133
1683643923.388,-29.785,-39.551,-35.645,-37.598
1683643923.392,-20.020,-35.156,-32.227,-28.809
1683643923.396,-27.832,-34.180,-28.809,-38.086
1683643923.400,-41.504,-27.832,-29.785,-55.664
1683643923.402,-39.062,-27.832,-29.297,-48.828
1683643923.406,-36.133,-32.227,-21.973,-41.504
1683643923.410,-41.016,-35.645,-23.438,-47.852
1683643923.414,-47.363,-32.715,-21.973,-43.457
1683643923.418,-47.363,-46.875,-16.113,-25.879
1683643923.422,-43.945,-59.570,-28.809,-25.391
1683643923.426,-32.227,-27.344,-26.855,-20.020
1683643923.429,-51.270,-12.207,-24.414,-31.250
1683643923.433,-65.430,-20.020,-40.527,-40.527
1683643923.437,-52.246,-35.156,-36.621,-34.180
1683643923.441,-60.059,-53.711,-28.809,-41.016
1683643923.445,-59.570,-54.688,-30.762,-38.574
1683643923.447,-45.898,-38.086,-35.156,-33.691
1683643923.451,-46.387,-23.926,-41.992,-37.598
1683643923.455,-41.992,-29.785,-35.645,-32.227
1683643923.459,-35.156,-37.598,-29.785,-38.574
1683643923.463,-40.527,-14.160,-29.297,-56.152
1683643923.467,-43.945,-2.441,-27.832,-55.176
1683643923.471,-43.457,-25.391,-27.832,-42.480
1683643923.474,-42.969,-31.738,-22.461,-39.551
1683643923.478,-35.645,-23.926,-29.297,-38.086
1683643923.482,-27.344,-34.180,-33.203,-28.809
1683643923.486,-31.738,-38.086,-22.461,-28.320
1683643923.490,-35.156,-42.969,-20.020,-31.738
1683643923.492,-25.391,-15.137,-10.254,-19.043
1683643923.496,-25.391,-1.953,-19.043,-18.555
1683643923.500,-35.156,-24.414,-25.879,-37.109
1683643923.504,-34.180,-23.926,-14.160,-40.039
1683643923.508,-32.715,-18.066,-21.973,-31.250
1683643923.512,-30.762,-19.531,-26.855,-27.344
1683643923.516,-26.367,-22.949,-8.789,-25.879
1683643923.519,-16.602,-21.973,-8.789,-20.508
1683643923.523,-11.719,-32.227,-31.738,-23.926
1683643923.527,-24.902,-38.086,-31.738,-27.832
1683643923.531,-33.203,-34.180,-23.438,-25.391
1683643923.535,-33.691,-39.551,-23.926,-29.785
1683643923.552,-24.414,-34.180,-21.973,-19.531
1683643923.556,-22.949,-12.695,-20.508,-19.531
1683643923.560,-39.062,-8.789,-31.250,-41.992
1683643923.564,-27.344,-14.160,-17.578,-35.645
1683643923.568,-23.438,-12.695,-13.672,-33.691
1683643923.572,-30.273,-12.207,-37.598,-40.039
1683643923.576,-25.879,-30.273,-43.457,-36.621
1683643923.579,-18.066,-49.316,-38.574,-32.715
1683643923.583,-19.043,-56.641,-34.180,-32.227
1683643923.587,-25.879,-45.898,-23.926,-34.668
1683643923.591,-12.695,-19.531,-18.066,-22.949
1683643923.595,-16.602,-12.695,-29.785,-20.996
1683643923.597,-22.949,-21.973,-21.484,-26.855
1683643923.601,-22.949,-21.973,-16.113,-27.344
1683643923.605,-19.043,-26.855,-6.348,-21.484
1683643923.609,-6.836,-32.715,-8.789,-12.695
1683643923.613,-20.020,-38.574,-29.297,-20.996
1683643923.617,-31.250,-47.852,-39.062,-33.203
1683643923.621,-31.738,-60.059,-41.016,-28.809
1683643923.624,-25.391,-34.668,-28.809,-21.484
1683643923.628,-36.621,-21.973,-39.062,-37.598
1683643923.632,-37.598,-32.715,-36.133,-42.480
1683643923.636,-26.367,-14.648,-20.508,-32.227
1683643923.640,-27.832,-12.695,-22.949,-31.738
1683643923.642,-29.785,-20.508,-28.809,-32.227
1683643923.646,-27.344,-27.832,-29.297,-30.762
1683643923.650,-20.508,-24.414,-25.391,-29.297
1683643923.654,-13.672,-13.672,-28.809,-20.996
1683643923.658,-19.043,-32.227,-28.809,-17.090
1683643923.662,-31.738,-46.875,-32.227,-28.320
1683643923.666,-27.344,-28.809,-35.645,-26.855
1683643923.669,-23.926,-25.391,-35.645,-22.461
1683643923.673,-17.578,-38.086,-39.551,-14.160
1683643923.677,-19.043,-45.898,-23.438,-9.277
1683643923.681,-33.203,-23.438,-26.855,-26.855
1683643923.685,-27.344,-12.207,-41.992,-36.621
1683643923.642,-29.785,-20.508,-28.809,-32.227
1683643923.646,-27.344,-27.832,-29.297,-30.762
1683643923.650,-20.508,-24.414,-25.391,-29.297
1683643923.654,-13.672,-13.672,-28.809,-20.996
1683643923.658,-19.043,-32.227,-28.809,-17.090
1683643923.662,-31.738,-46.875,-32.227,-28.320
1683643923.666,-27.344,-28.809,-35.645,-26.855
1683643923.669,-23.926,-25.391,-35.645,-22.461
1683643923.673,-17.578,-38.086,-39.551,-14.160
1683643923.677,-19.043,-45.898,-23.438,-9.277
1683643923.681,-33.203,-23.438,-26.855,-26.855
1683643923.685,-27.344,-12.207,-41.992,-36.621
1683643923.687,-27.832,-26.855,-28.320,-37.598
1683643923.691,-31.738,-39.062,-32.715,-42.969
1683643923.695,-23.926,-27.344,-31.738,-29.785
1683643923.699,-26.367,-22.461,-28.320,-31.250
1683643923.703,-31.738,-28.320,-34.180,-38.574
1683643923.707,-24.414,-29.297,-34.668,-32.227
1683643923.711,-29.297,-54.688,-38.086,-31.250
1683643923.714,-38.086,-44.434,-33.203,-30.273
1683643923.718,-32.227,-16.602,-25.391,-19.043
1683643923.722,-31.250,-28.809,-22.461,-14.160
1683643923.726,-25.879,-32.715,-26.367,-11.230
1683643923.730,-32.227,-21.973,-22.461,-13.672
1683643923.732,-39.551,-38.086,-6.348,-20.508
1683643923.736,-31.738,-40.527,-9.766,-25.391
1683643923.740,-27.832,-29.785,-17.578,-22.461
1683643923.744,-23.438,-29.297,-15.137,-10.742
1683643923.748,-18.555,-21.973,-24.414,-19.531
1683643923.752,-20.996,-28.320,-31.250,-28.320
1683643923.756,-39.062,-43.457,-44.434,-37.109
1683643923.759,-36.621,-42.969,-34.668,-40.527
1683643923.763,-20.508,-36.621,-6.836,-31.250
1683643923.767,-19.531,-42.480,-12.207,-29.297
1683643923.771,-23.926,-43.945,-20.508,-24.902
1683643923.775,-26.367,-34.668,-15.625,-24.414
1683643923.777,-20.508,-25.391,-18.555,-27.832
1683643923.781,-11.230,-23.438,-36.133,-27.344
1683643923.785,-11.230,-30.273,-30.273,-36.133
1683643923.789,-19.531,-29.297,-18.555,-41.016
1683643923.793,-22.461,-15.625,-18.555,-35.645
1683643923.797,-31.738,-17.090,-15.625,-38.086
1683643923.801,-31.738,-27.832,-18.066,-36.133
1683643923.804,-22.949,-30.273,-15.625,-23.926
1683643923.808,-41.992,-55.176,-35.156,-35.645
1683643923.812,-39.551,-63.477,-43.945,-39.062
1683643923.816,-27.344,-33.203,-32.227,-32.715
1683643923.820,-37.109,-30.762,-25.879,-34.668
1683643923.777,-20.508,-25.391,-18.555,-27.832
1683643923.781,-11.230,-23.438,-36.133,-27.344
1683643923.785,-11.230,-30.273,-30.273,-36.133
1683643923.789,-19.531,-29.297,-18.555,-41.016
1683643923.793,-22.461,-15.625,-18.555,-35.645
1683643923.797,-31.738,-17.090,-15.625,-38.086
1683643923.801,-31.738,-27.832,-18.066,-36.133
1683643923.804,-22.949,-30.273,-15.625,-23.926
1683643923.808,-41.992,-55.176,-35.156,-35.645
1683643923.812,-39.551,-63.477,-43.945,-39.062
1683643923.816,-27.344,-33.203,-32.227,-32.715
1683643923.820,-37.109,-30.762,-25.879,-34.668
1683643923.822,-35.645,-34.668,-28.809,-36.133
1683643923.826,-31.250,-34.668,-45.898,-33.691
1683643923.830,-40.039,-30.273,-49.316,-35.156
1683643923.834,-46.875,-27.832,-27.832,-35.645
1683643923.838,-42.969,-30.762,-14.160,-29.785
1683643923.842,-34.180,-31.738,-21.973,-27.832
1683643923.846,-31.738,-32.227,-30.762,-29.785
1683643923.849,-30.273,-36.133,-35.645,-25.391
1683643923.853,-20.020,-26.855,-20.996,-13.672
1683643923.857,-26.367,-35.645,-19.531,-17.578
1683643923.861,-31.250,-63.477,-29.297,-25.879
1683643923.865,-33.203,-41.504,-28.809,-23.438
1683643923.867,-29.785,-20.508,-41.992,-24.902
1683643923.871,-23.438,-26.855,-38.574,-23.926
1683643923.875,-25.391,-27.832,-36.621,-21.484
1683643923.879,-33.691,-46.387,-52.734,-33.691
1683643923.883,-39.062,-49.316,-44.922,-41.992
1683643923.887,-33.691,-26.855,-22.461,-33.203
1683643923.891,-37.109,-16.602,-29.785,-31.738
1683643923.894,-35.645,-21.973,-36.133,-28.809
1683643923.898,-25.879,-32.715,-22.461,-22.461
1683643923.902,-29.785,-56.641,-33.691,-33.203
1683643923.906,-37.109,-47.363,-43.457,-39.551
1683643923.910,-37.109,-22.949,-31.250,-40.527
1683643923.927,-33.203,-19.531,-20.508,-42.480
1683643923.931,-19.531,-19.043,-15.137,-31.738
1683643923.935,-23.438,-30.762,-23.438,-37.598
1683643923.939,-31.738,-33.691,-27.832,-40.039
1683643923.943,-27.344,-22.949,-31.250,-28.809
1683643923.947,-36.621,-39.551,-34.668,-35.645
1683643923.951,-46.387,-48.828,-40.527,-44.434
1683643923.954,-35.156,-26.367,-30.273,-33.203
1683643923.958,-38.086,-34.668,-27.832,-28.320
1683643923.962,-48.828,-43.457,-35.156,-33.691
1683643923.966,-41.992,-32.227,-15.137,-31.738
1683643923.970,-48.340,-35.645,-24.902,-36.133
1683643923.927,-33.203,-19.531,-20.508,-42.480
1683643923.931,-19.531,-19.043,-15.137,-31.738
1683643923.935,-23.438,-30.762,-23.438,-37.598
1683643923.939,-31.738,-33.691,-27.832,-40.039
1683643923.943,-27.344,-22.949,-31.250,-28.809
1683643923.947,-36.621,-39.551,-34.668,-35.645
1683643923.951,-46.387,-48.828,-40.527,-44.434
1683643923.954,-35.156,-26.367,-30.273,-33.203
1683643923.958,-38.086,-34.668,-27.832,-28.320
1683643923.962,-48.828,-43.457,-35.156,-33.691
1683643923.966,-41.992,-32.227,-15.137,-31.738
1683643923.970,-48.340,-35.645,-24.902,-36.133
1683643923.972,-53.223,-51.758,-42.969,-42.969
1683643923.976,-55.664,-46.387,-37.109,-41.992
1683643923.980,-50.293,-34.180,-28.809,-31.250
1683643923.984,-47.363,-27.832,-14.648,-28.809
1683643923.988,-49.316,-15.625,-15.625,-26.855
1683643923.992,-39.062,-15.625,-15.625,-19.531
1683643923.996,-57.617,-44.434,-35.156,-36.621
1683643923.999,-65.430,-63.965,-46.387,-44.922
1683643924.003,-56.152,-41.016,-33.691,-39.062
1683643924.007,-57.617,-25.879,-22.461,-37.598
1683643924.011,-53.223,-36.621,-28.320,-37.109
1683643924.015,-56.152,-56.641,-43.945,-35.645
1683643924.017,-55.664,-56.641,-36.621,-35.156
1683643924.021,-44.434,-42.969,-15.625,-34.180
1683643924.025,-42.969,-36.621,-17.090,-31.250
1683643924.029,-48.340,-31.250,-26.367,-29.297
1683643924.033,-54.688,-34.668,-29.785,-32.227
1683643924.037,-50.293,-50.781,-30.273,-23.926
1683643924.041,-44.434,-18.555,-29.785,-17.578
1683643924.044,-56.152,-11.230,-37.109,-32.227
1683643924.048,-59.082,-53.223,-35.645,-41.016
1683643924.052,-47.363,-56.152,-32.715,-38.574
1683643924.056,-40.527,-46.875,-44.434,-32.227
1683643924.060,-40.527,-41.016,-38.574,-22.949
1683643924.062,-40.039,-26.367,-20.508,-24.414
1683643924.066,-35.645,-27.832,-20.508,-30.273
1683643924.070,-36.133,-30.762,-24.414,-37.109
1683643924.074,-41.016,-22.949,-32.715,-37.598
1683643924.078,-39.551,-13.672,-44.922,-29.297
1683643924.082,-41.504,-26.367,-45.410,-27.344
1683643924.086,-44.922,-43.945,-30.273,-37.109
1683643924.089,-43.457,-51.270,-29.785,-43.457
1683643924.093,-43.457,-49.316,-36.621,-36.621
1683643924.097,-41.504,-42.480,-29.297,-30.762
1683643924.101,-29.785,-14.160,-15.137,-23.926
1683643924.105,-31.250,-11.719,-17.090,-27.832
1683643924.107,-38.086,-34.668,-36.133,-32.715
1683643924.111,-37.598,-37.109,-34.180,-31.738
1683643924.115,-44.922,-41.992,-25.391,-38.086
1683643924.119,-45.898,-56.152,-34.180,-43.945
1683643924.123,-45.898,-44.434,-23.438,-47.852
1683643924.127,-52.246,-22.949,-19.043,-45.410
1683643924.131,-59.082,-25.391,-41.016,-47.852
1683643924.134,-57.129,-44.922,-38.086,-47.363
1683643924.138,-50.293,-43.457,-22.949,-40.527
1683643924.142,-42.480,-18.066,-33.203,-38.086
1683643924.146,-40.039,-20.996,-46.875,-35.156
1683643924.150,-43.945,-45.410,-51.270,-36.621
1683643924.152,-35.156,-39.551,-32.227,-36.133
1683643924.156,-38.086,-32.227,-30.762,-40.039
1683643924.160,-47.363,-26.367,-39.062,-48.828
1683643924.164,-48.340,-33.691,-39.062,-54.199
1683643924.168,-50.781,-42.480,-47.852,-48.828
1683643924.172,-47.363,-29.785,-42.480,-43.945
1683643924.176,-37.598,-24.414,-30.273,-44.434
1683643924.179,-41.992,-36.621,-30.273,-48.340
1683643924.183,-41.504,-52.734,-34.668,-42.969
1683643924.187,-29.785,-39.062,-25.391,-29.785
1683643924.191,-39.062,-25.391,-26.855,-28.809
1683643924.195,-49.805,-24.414,-24.902,-41.992
1683643924.197,-46.875,-28.809,-31.738,-48.828
1683643924.201,-43.945,-36.621,-40.527,-37.598
1683643924.205,-44.922,-49.316,-34.180,-34.668
1683643924.209,-36.621,-41.992,-33.691,-30.762
1683643924.213,-28.809,-26.855,-25.879,-24.902
1683643924.217,-37.109,-40.527,-24.902,-36.133
1683643924.221,-44.922,-40.527,-26.855,-44.922
1683643924.224,-34.668,-21.484,-27.344,-41.504
1683643924.228,-19.531,-15.625,-34.668,-32.715
1683643924.232,-21.973,-24.414,-33.203,-34.668
1683643924.236,-21.973,-35.156,-21.484,-36.133
1683643924.240,-20.996,-39.062,-21.973,-29.297
1683643924.242,-30.273,-42.480,-36.133,-35.645
1683643924.246,-37.598,-35.156,-37.109,-36.133
1683643924.250,-37.109,-49.316,-21.484,-25.879
1683643924.254,-31.738,-40.527,-0.977,-14.648
1683643924.258,-49.805,-12.695,-25.391,-28.320
1683643924.262,-59.082,-27.832,-48.340,-43.457
1683643924.266,-54.688,-27.832,-47.363,-40.039
1683643924.269,-54.199,-22.949,-45.410,-41.992
1683643924.273,-49.316,-35.645,-21.484,-40.039
1683643924.277,-41.504,-33.691,-10.742,-32.227
1683643924.281,-35.645,-24.902,-20.020,-28.809
1683643924.285,-37.109,-30.762,-33.203,-32.715
1683643924.302,-33.203,-48.340,-33.691,-35.645
1683643924.306,-21.484,-34.180,-12.207,-24.902
1683643924.310,-24.414,-10.254,-16.602,-23.438
1683643924.314,-32.715,-13.672,-31.250,-30.762
1683643924.318,-24.414,-22.949,-17.578,-25.391
1683643924.322,-31.250,-24.414,-36.133,-25.879
1683643924.326,-49.316,-35.645,-56.152,-37.109
1683643924.329,-53.223,-42.480,-39.551,-39.062
1683643924.333,-50.293,-39.062,-33.691,-36.621
1683643924.337,-45.410,-46.387,-24.902,-22.949
1683643924.341,-40.039,-43.945,-23.926,-11.719
1683643924.345,-31.738,-34.180,-19.531,-19.043
1683643924.347,-35.645,-27.344,-21.973,-21.973
1683643924.351,-46.875,-28.320,-26.367,-28.320
1683643924.355,-40.039,-24.414,-22.461,-28.320
1683643924.359,-36.621,-28.809,-33.691,-29.785
1683643924.363,-40.039,-34.180,-33.691,-29.785
1683643924.367,-41.504,-45.898,-29.297,-31.250
1683643924.371,-49.316,-47.363,-39.551,-47.363
1683643924.374,-46.387,-41.992,-47.363,-48.340
1683643924.378,-46.387,-47.363,-42.480,-50.293
1683643924.382,-41.992,-41.992,-37.598,-47.363
1683643924.386,-37.598,-40.039,-42.480,-36.133
1683643924.390,-39.551,-25.879,-22.949,-33.203
1683643924.392,-30.273,-17.090,-7.812,-32.715
1683643924.396,-25.879,-18.066,-9.277,-32.715
1683643924.400,-23.438,-23.926,-15.137,-24.902
1683643924.404,-27.344,-38.086,-25.879,-25.879
1683643924.408,-29.297,-25.391,-28.809,-29.297
1683643924.412,-26.367,-43.457,-36.133,-33.691
1683643924.416,-34.668,-52.734,-34.668,-42.480
1683643924.419,-35.156,-24.902,-36.133,-43.945
1683643924.423,-33.691,-31.738,-39.062,-41.504
1683643924.427,-28.809,-49.805,-28.809,-32.715
1683643924.431,-24.414,-36.133,-22.461,-29.785
1683643924.435,-42.480,-40.039,-26.855,-39.551
1683643924.437,-53.223,-43.945,-35.156,-46.387
1683643924.441,-51.270,-40.039,-45.410,-52.734
1683643924.445,-46.387,-51.758,-45.898,-54.199
1683643924.449,-40.039,-29.785,-37.598,-48.340
1683643924.453,-45.898,-21.973,-35.645,-50.293
1683643924.457,-55.664,-37.109,-30.762,-53.223
1683643924.461,-49.805,-50.293,-33.691,-47.363
1683643924.464,-37.109,-59.082,-40.527,-39.062
1683643924.468,-39.551,-61.035,-45.410,-40.039
1683643924.472,-46.387,-43.945,-47.363,-33.691
1683643924.476,-36.621,-25.879,-26.367,-19.531
1683643924.480,-47.852,-30.273,-32.227,-41.016
1683643924.482,-55.176,-57.129,-43.457,-49.805
1683643924.486,-50.293,-53.711,-43.457,-45.410
1683643924.490,-50.293,-38.574,-55.664,-46.875
1683643924.494,-42.480,-36.133,-43.457,-38.086
1683643924.498,-41.016,-43.457,-23.926,-35.645
1683643924.502,-40.039,-50.293,-34.668,-36.621
1683643924.506,-35.156,-52.246,-44.922,-34.180
1683643924.509,-37.109,-47.852,-31.738,-30.273
1683643924.513,-36.621,-33.691,-24.414,-26.367
1683643924.517,-39.062,-32.227,-31.738,-33.691
1683643924.521,-23.438,-20.020,-29.297,-20.020
1683643924.525,-13.672,-19.531,-38.574,-7.812
1683643924.527,-28.809,-31.250,-41.016,-33.691
1683643924.531,-35.156,-27.832,-32.715,-45.410
1683643924.535,-28.320,-32.227,-38.574,-35.645
1683643924.539,-28.809,-48.828,-37.598,-39.551
1683643924.543,-35.645,-36.133,-41.992,-47.852
1683643924.547,-35.645,-15.625,-31.250,-43.457
1683643924.551,-38.086,-23.438,-27.344,-43.457
1683643924.554,-37.109,-29.785,-46.875,-41.992
1683643924.558,-29.297,-22.949,-47.363,-33.691
1683643924.562,-31.738,-28.320,-42.969,-34.668
1683643924.566,-33.203,-52.246,-43.457,-31.738
1683643924.570,-33.203,-52.246,-44.434,-27.832
1683643924.572,-41.992,-38.086,-61.035,-30.273
1683643924.576,-40.039,-17.090,-48.340,-32.227
1683643924.580,-34.668,-8.301,-28.320,-44.434
1683643924.584,-32.227,-21.484,-27.344,-42.480
1683643924.588,-25.879,-29.785,-25.391,-33.203
1683643924.592,-43.457,-30.762,-34.180,-48.828
1683643924.596,-42.969,-34.180,-44.434,-47.852
1683643924.599,-39.062,-49.316,-48.340,-43.457
