1683636164.499,-36.621,-22.949,-28.320,-22.461
1683636164.503,90.332,-21.484,-30.273,19.043
1683636164.507,67.383,-21.973,-33.203,2.930
1683636164.511,-73.242,-29.297,-34.180,-60.059
1683636164.515,-145.020,-30.762,-25.879,-83.496
1683636164.519,-42.969,-26.367,-17.090,-33.203
1683636164.523,97.168,-20.996,-14.160,19.531
1683636164.526,84.961,-23.926,-20.020,4.395
1683636164.530,-60.059,-31.250,-40.527,-52.734
1683636164.534,-160.156,-35.645,-41.504,-87.891
1683636164.538,-87.891,-40.039,-21.484,-55.176
1683636164.542,47.363,-29.785,-17.578,14.648
1683636164.544,66.406,-27.832,-24.902,21.973
1683636164.548,-51.270,-34.668,-37.598,-44.434
1683636164.552,-158.203,-29.297,-34.180,-86.914
1683636164.556,-105.469,-27.344,-16.602,-56.152
1683636164.560,39.551,-25.879,-19.043,2.930
1683636164.564,79.590,-22.949,-34.180,12.207
1683636164.568,-34.668,-16.602,-36.621,-38.086
1683636164.571,-157.715,-20.020,-42.480,-92.285
1683636164.575,-130.859,-34.180,-31.738,-71.289
1683636164.579,23.926,-31.250,-9.766,5.859
1683636164.583,96.191,-24.414,-18.066,30.762
1683636164.587,-13.184,-31.738,-36.621,-26.855
1683636164.589,-153.809,-39.062,-40.527,-90.332
1683636164.593,-138.672,-36.133,-32.227,-76.660
1683636164.597,14.160,-31.250,-27.344,-11.230
1683636164.601,99.121,-26.855,-27.832,20.020
1683636164.605,1.953,-28.809,-29.785,-26.855
1683636164.609,-145.996,-35.645,-24.414,-88.379
1683636164.613,-152.344,-37.109,-20.020,-79.102
1683636164.616,-18.555,-36.621,-25.391,-20.020
1683636164.620,76.660,-38.574,-29.297,12.207
1683636164.624,15.137,-38.574,-30.273,-16.113
1683636164.628,-139.648,-38.574,-40.039,-73.730
1683636164.632,-171.875,-40.039,-39.551,-82.031
1683636164.634,-32.715,-36.133,-17.578,-31.738
1683636164.638,83.496,-32.715,-16.113,8.301
1683636164.642,31.250,-32.715,-31.250,-17.090
1683636164.646,-110.352,-24.902,-30.762,-75.195
1683636164.650,-162.109,-24.902,-23.438,-83.008
1683636164.654,-45.410,-26.367,-18.066,-25.879
1683636164.658,88.379,-20.996,-15.137,17.578
1683636164.661,48.828,-32.227,-21.973,-7.324
1683636164.665,-100.098,-28.320,-29.297,-60.059
1683636164.669,-169.434,-26.855,-25.879,-82.520
1683636164.673,-66.895,-31.738,-17.578,-38.086
1683636164.677,74.219,-25.879,-19.043,15.137
1683636164.679,72.266,-23.438,-28.320,4.883
1683636164.683,-67.383,-20.508,-32.227,-49.805
1683636164.687,-162.109,-26.855,-33.691,-78.125
1683636164.691,-81.055,-27.344,-27.344,-37.598
1683636164.695,61.523,-33.203,-16.602,9.766
1683636164.699,86.426,-33.691,-20.996,6.836
1683636164.703,-47.363,-31.250,-33.691,-48.340
1683636164.706,-172.363,-33.691,-39.062,-93.262
1683636164.710,-98.633,-22.461,-26.367,-54.199
1683636164.714,72.754,-18.555,-10.254,16.602
1683636164.718,106.934,-18.066,-12.207,20.996
1683636164.722,-28.320,-23.438,-21.484,-39.551
