timestamps,TP9,AF7,AF8,TP10
1683642570.765,-56.641,-45.898,-7.324,-52.734
1683642570.769,-33.203,-35.156,-13.184,-11.230
1683642570.771,-32.227,-42.480,-31.250,-17.578
1683642570.775,-53.223,-56.152,-40.039,-64.453
1683642570.779,-59.082,-52.246,-29.785,-79.590
1683642570.783,-37.598,-38.574,-14.160,-42.969
1683642570.787,-15.625,-33.203,-13.672,5.371
1683642570.791,-13.672,-32.227,-23.438,4.395
1683642570.795,-39.551,-38.574,-31.738,-44.922
1683642570.798,-58.105,-51.270,-31.250,-72.754
1683642570.802,-44.434,-47.363,-20.508,-43.945
1683642570.806,-21.973,-33.691,-12.207,0.977
1683642570.810,-19.043,-29.785,-22.949,3.906
1683642570.814,-38.574,-39.551,-40.039,-40.527
1683642570.816,-54.688,-48.828,-33.691,-73.242
1683642570.820,-43.457,-42.969,-12.695,-48.340
1683642570.824,-22.949,-30.273,-4.395,-1.465
1683642570.828,-20.996,-32.715,-22.461,2.930
1683642570.832,-41.992,-42.969,-43.457,-39.062
1683642570.836,-57.129,-43.457,-39.062,-71.289
1683642570.840,-48.828,-33.691,-20.020,-52.734
1683642570.843,-22.461,-22.461,-9.277,-4.395
1683642570.847,-7.324,-26.855,-20.996,12.207
1683642570.851,-24.414,-43.945,-34.180,-24.902
1683642570.855,-50.781,-50.293,-30.273,-66.895
1683642570.859,-49.805,-45.898,-19.043,-60.547
1683642570.876,-20.508,-26.855,-9.766,-11.230
1683642570.880,-6.348,-16.113,-20.508,16.113
1683642570.884,-25.391,-29.297,-37.109,-16.602
1683642570.888,-50.293,-38.574,-36.621,-59.082
1683642570.892,-52.734,-33.203,-21.484,-52.246
1683642570.896,-27.832,-17.090,-7.812,-2.930
1683642570.900,-9.766,-15.137,-14.648,24.902
1683642570.903,-26.367,-35.156,-33.691,-6.836
1683642570.907,-51.270,-52.734,-40.039,-54.199
1683642570.911,-55.664,-53.711,-28.809,-59.570
1683642570.915,-44.434,-38.086,-15.137,-24.414
1683642570.919,-33.203,-31.250,-16.602,4.395
1683642570.876,-20.508,-26.855,-9.766,-11.230
1683642570.880,-6.348,-16.113,-20.508,16.113
1683642570.884,-25.391,-29.297,-37.109,-16.602
1683642570.888,-50.293,-38.574,-36.621,-59.082
1683642570.892,-52.734,-33.203,-21.484,-52.246
1683642570.896,-27.832,-17.090,-7.812,-2.930
1683642570.900,-9.766,-15.137,-14.648,24.902
1683642570.903,-26.367,-35.156,-33.691,-6.836
1683642570.907,-51.270,-52.734,-40.039,-54.199
1683642570.911,-55.664,-53.711,-28.809,-59.570
1683642570.915,-44.434,-38.086,-15.137,-24.414
1683642570.919,-33.203,-31.250,-16.602,4.395
1683642570.921,-43.457,-41.504,-33.203,-16.602
1683642570.925,-65.430,-52.246,-39.062,-60.059
1683642570.929,-73.242,-50.781,-26.855,-73.242
1683642570.933,-60.059,-41.016,-12.207,-41.504
1683642570.937,-45.898,-36.133,-8.301,-4.883
1683642570.941,-52.734,-38.086,-27.344,-20.508
1683642570.945,-73.242,-49.316,-41.992,-68.848
1683642570.948,-82.031,-54.688,-28.320,-86.914
1683642570.952,-63.965,-52.246,-15.625,-51.758
1683642570.956,-39.551,-43.457,-12.695,-5.371
