timestamps,TP9,AF7,AF8,TP10
1683634000.695,-63.477,-60.059,-49.805,-70.312
1683634000.699,-52.246,-54.199,-37.598,-44.922
1683634000.703,-11.719,-33.691,-20.996,-8.301
1683634000.707,-0.488,-29.297,-17.578,0.977
1683634000.711,-23.438,-44.434,-33.203,-26.855
1683634000.715,-49.316,-62.012,-51.270,-52.734
1683634000.719,-40.527,-52.246,-48.340,-40.039
1683634000.722,-9.277,-29.297,-25.391,0.000
1683634000.726,-3.906,-26.855,-20.020,10.742
1683634000.730,-22.949,-40.039,-29.785,-15.625
1683634000.734,-44.434,-49.805,-37.109,-42.969
1683634000.738,-49.316,-58.105,-35.156,-38.574
1683634000.739,-29.297,-49.805,-26.367,-5.371
1683634000.743,-14.648,-33.203,-24.902,7.324
1683634000.747,-31.738,-43.457,-36.621,-23.926
1683634000.751,-60.059,-52.246,-50.293,-54.199
1683634000.755,-58.594,-52.246,-43.457,-46.875
1683634000.759,-30.273,-33.203,-27.832,-15.137
1683634000.763,-13.184,-12.207,-18.066,-2.930
1683634000.766,-31.250,-29.785,-34.668,-38.574
1683634000.770,-62.988,-57.129,-54.688,-70.801
1683634000.774,-69.336,-64.453,-45.898,-60.059
1683634000.778,-44.922,-44.922,-29.297,-28.320
1683634000.782,-21.973,-23.926,-21.484,-4.883
1683634000.784,-24.414,-28.320,-29.297,-22.949
1683634000.788,-43.457,-53.711,-46.387,-55.176
1683634000.792,-49.316,-67.383,-48.340,-55.176
1683634000.796,-30.273,-51.270,-38.574,-25.391
1683634000.800,0.977,-22.461,-15.137,13.184
1683634000.804,1.953,-9.277,-23.438,3.906
1683634000.808,-32.227,-33.691,-106.445,-47.363
1683634000.811,-54.688,-63.477,-94.727,-64.453
1683634000.815,-43.457,-61.035,-35.156,-32.715
1683634000.819,-16.113,-36.133,-22.949,1.953
1683634000.823,-7.324,-22.949,-24.902,-1.465
1683634000.827,-33.691,-43.945,-45.898,-38.086
1683634000.829,-64.453,-62.012,-50.293,-56.641
1683634000.833,-53.711,-53.223,-37.598,-33.203
1683634000.837,-29.785,-32.715,-23.926,-2.930
1683634000.841,-25.391,-29.785,-22.949,-7.324
1683634000.845,-41.504,-45.898,-30.273,-38.086
1683634000.849,-64.453,-54.199,-48.340,-63.965
1683634000.853,-54.199,-41.992,-58.105,-52.734
1683634000.856,-27.344,-29.297,-29.297,-20.020
1683634000.860,-21.973,-25.391,-24.414,-20.996
1683634000.864,-39.062,-41.504,-57.129,-54.199
1683634000.868,-60.547,-59.082,-65.430,-75.684
1683634000.872,-61.035,-63.965,-41.992,-58.105
1683634000.889,-33.203,-38.086,-22.461,-18.555
1683634000.893,-18.066,-20.020,-23.438,-3.418
1683634000.897,-39.062,-39.551,-40.039,-33.203
1683634000.901,-57.617,-47.363,-46.387,-57.129
1683634000.905,-56.641,-38.574,-40.527,-41.992
1683634000.909,-36.133,-25.391,-28.320,-7.812
1683634000.913,-15.137,-17.090,-22.949,3.906
1683634000.916,-25.879,-32.715,-35.156,-29.785
1683634000.920,-56.641,-59.570,-56.152,-65.430
1683634000.924,-68.848,-69.824,-73.730,-62.012
1683634000.928,-47.852,-40.527,-41.016,-27.344
1683634000.932,-26.855,-13.184,-16.602,-7.812
1683634000.934,-32.715,-25.879,-31.250,-24.414
1683634000.938,-62.012,-50.781,-50.293,-61.035
1683634000.942,-71.289,-53.711,-47.852,-65.918
1683634000.946,-48.828,-39.062,-29.297,-28.320
1683634000.950,-29.297,-23.438,-23.926,-7.812
1683634000.954,-24.902,-16.602,-32.715,-21.973
1683634000.958,-43.945,-31.738,-43.457,-48.828
1683634000.961,-60.059,-55.664,-44.922,-53.711
1683634000.965,-41.992,-50.293,-41.504,-20.996
1683634000.969,-20.508,-30.273,-39.062,0.488
1683634000.973,-25.391,-29.785,-32.715,-17.090
1683634000.977,-50.293,-45.898,-39.062,-48.340
1683634000.979,-71.289,-55.176,-41.992,-58.105
1683634000.983,-53.711,-49.805,-32.715,-30.762
1683634000.987,-19.531,-34.180,-11.719,6.836
1683634000.991,-13.184,-29.297,-11.230,4.395
1683634000.995,-37.109,-45.898,-36.133,-33.691
1683634000.999,-56.152,-55.176,-43.457,-52.734
