timestamps,TP9,AF7,AF8,TP10
1680451119,-39.551,-41.016,-35.645,-19.043
1680451119,-44.434,-41.504,-51.27,-42.969
1680451119,-40.039,-40.039,-44.434,-32.227
1680451119,-40.527,-36.621,-27.344,-23.438
1680451119,-50.781,-33.691,-1.465,-30.762
1680451119,-56.641,-35.645,-6.836,-48.828
1680451119,-42.969,-28.32,-18.066,-47.852
1680451119,-36.621,-27.344,-23.926,-35.156
1680451119,-42.969,-32.715,-26.367,-31.738
1680451119,-46.875,-33.691,-29.297,-40.039
1680451119,-51.758,-34.18,-34.18,-53.223
1680451119,-49.805,-32.227,-38.086,-55.664
1680451119,-40.039,-32.715,-32.227,-41.992
1680451119,-39.062,-37.109,-27.344,-30.762
1680451119,-33.203,-31.25,-25.879,-24.902
1680451119,-33.203,-31.738,-30.762,-29.297
1680451119,-30.762,-36.621,-35.645,-43.945
1680451119,-28.32,-28.32,-34.18,-38.574
1680451119,-29.297,-23.438,-26.855,-23.438
1680451119,-30.273,-28.32,-29.297,-23.438
1680451119,-37.109,-31.25,-37.109,-29.297
1680451119,-35.156,-28.809,-34.668,-30.273
1680451119,-32.227,-26.855,-29.297,-22.949
1680451119,-39.062,-27.344,-23.438,-22.461
1680451119,-44.434,-36.133,-30.762,-27.344
1680451119,-43.945,-43.945,-51.758,-34.18
1680451119,-44.434,-39.062,-47.363,-42.48
1680451119,-38.574,-30.762,-35.645,-34.668
1680451119,-30.273,-26.367,-30.273,-20.508
1680451119,-28.809,-20.508,-20.02,-22.949
1680451119,-14.648,-20.508,-18.066,-23.438
1680451119,-29.785,-30.762,-22.461,-40.527
1680451119,-59.57,-44.922,-29.297,-55.176
1680451119,-41.504,-47.363,-24.414,-25.879
1680451119,-30.273,-41.016,-16.602,-19.531
1680451119,-27.344,-36.133,-17.578,-39.062
1680451119,-29.785,-33.203,-18.066,-38.086
1680451119,-41.992,-33.203,-19.043,-29.785
1680451119,-38.086,-37.109,-20.02,-22.949
1680451119,-38.086,-39.062,-22.461,-14.648
1680451119,-36.621,-37.598,-34.18,-21.973
1680451119,-26.855,-35.156,-32.715,-30.762
1680451119,-23.438,-36.621,-16.602,-14.648
1680451119,-29.785,-41.016,-32.715,-12.695
1680451119,-42.969,-50.781,-44.434,-31.738
1680451119,-35.645,-54.199,-30.273,-41.016
1680451119,-29.297,-44.922,-21.973,-49.316
1680451119,-19.043,-35.156,-12.695,-51.758
1680451119,-28.809,-36.133,-25.391,-41.016
1680451119,-39.062,-34.18,-28.32,-17.578
1680451119,-29.297,-29.297,-20.508,-19.531
1680451119,-43.457,-32.715,-28.32,-52.734
1680451119,-43.945,-35.156,-32.227,-52.246
1680451119,-34.18,-30.273,-40.527,-28.809
1680451119,-33.691,-19.531,-45.898,-14.16
1680451119,-46.387,-27.344,-28.809,-22.949
1680451119,-43.945,-30.273,-30.762,-43.945
1680451119,-28.809,-23.926,-39.551,-51.758
1680451119,-27.832,-25.879,-21.484,-42.48
1680451119,-28.809,-29.297,-26.367,-31.738
1680451119,-28.809,-26.367,-37.109,-31.738
1680451119,-35.645,-28.32,-21.973,-42.969
1680451119,-25.879,-29.785,-19.531,-34.18
1680451119,-12.695,-26.855,-28.809,-13.672
1680451119,-20.508,-26.855,-24.414,-18.066
1680451119,-31.738,-29.297,-35.156,-25.879
1680451119,-36.133,-26.367,-34.18,-40.039
1680451119,-42.969,-32.715,-8.789,-45.898
