timestamps,TP9,AF7,AF8,TP10
1683632176.806,-30.273,-49.316,-49.805,-37.598
1683632176.810,-120.117,-79.590,-101.074,-176.758
1683632176.814,-110.352,-45.898,-61.035,-138.672
1683632176.818,-16.113,0.000,16.602,23.926
1683632176.822,41.016,7.324,26.367,100.098
1683632176.826,-0.977,-19.531,-42.969,6.836
1683632176.830,-76.172,-49.316,-102.539,-127.930
1683632176.833,-82.520,-42.969,-79.102,-112.305
1683632176.837,-3.906,-14.648,-3.906,29.297
1683632176.841,66.895,7.812,27.344,116.211
1683632176.845,18.555,-19.043,-32.227,26.855
1683632176.849,-86.426,-73.730,-100.586,-140.137
1683632176.851,-110.352,-92.285,-85.449,-152.344
1683632176.855,-33.203,-18.555,-1.953,5.859
1683632176.859,36.621,27.344,33.203,109.375
1683632176.863,9.766,-30.762,-29.785,30.762
1683632176.867,-86.914,-101.562,-104.980,-135.254
1683632176.871,-129.395,-62.500,-80.566,-170.410
1683632176.875,-65.918,-9.766,1.465,-33.691
1683632176.878,18.555,0.488,43.457,91.309
1683632176.882,9.766,-2.441,2.441,44.922
1683632176.886,-86.426,-86.914,-90.332,-129.395
1683632176.890,-130.859,-98.145,-94.238,-180.176
1683632176.894,-58.594,-20.996,0.000,-46.875
1683632176.896,24.902,11.719,55.664,85.449
1683632176.900,11.230,-13.672,4.883,48.828
1683632176.904,-71.777,-76.660,-86.426,-111.816
1683632176.908,-121.582,-105.469,-105.469,-186.035
1683632176.912,-63.477,-41.016,-27.832,-62.988
1683632176.916,31.250,32.227,46.387,91.797
1683632176.920,49.316,5.859,17.090,83.008
1683632176.923,-21.973,-67.383,-66.406,-67.383
1683632176.927,-85.938,-104.004,-91.797,-163.574
1683632176.931,-48.340,-58.105,-30.273,-79.590
1683632176.935,45.410,22.461,40.527,77.148
1683632176.939,68.359,17.090,19.531,95.703
1683632176.956,-15.625,-66.406,-71.289,-53.711
1683632176.960,-105.957,-80.078,-105.469,-170.410
1683632176.964,-86.914,-25.391,-44.922,-109.863
1683632176.968,2.930,16.602,30.762,47.363
1683632176.972,42.480,4.883,25.879,92.285
1683632176.976,-21.973,-24.902,-50.293,-39.062
1683632176.980,-110.840,-70.312,-102.051,-169.922
1683632176.983,-100.098,-81.543,-59.570,-132.812
1683632176.987,-17.578,-9.277,24.902,19.043
1683632176.991,18.066,36.621,38.574,84.473
1683632176.995,-43.945,-39.551,-41.504,-34.668
1683632176.999,-124.512,-99.121,-103.027,-179.199
1683632177.001,-108.398,-50.781,-62.500,-147.949
1683632177.005,-21.973,4.395,18.555,6.348
1683632177.009,20.508,3.418,40.039,86.914
