timestamps,TP9,AF7,AF8,TP10
1683641582.647,-38.086,-38.086,-39.062,-42.969
1683641582.651,-35.645,-31.250,-26.367,-44.434
1683641582.655,-25.391,-21.484,-19.043,-34.180
1683641582.657,-19.043,-19.043,-33.691,-20.508
1683641582.661,-24.414,-24.414,-46.387,-22.461
1683641582.665,-38.574,-33.203,-39.551,-36.133
1683641582.669,-38.086,-36.621,-19.043,-40.039
1683641582.673,-30.762,-32.227,-24.414,-33.203
1683641582.677,-25.391,-27.344,-40.039,-30.273
1683641582.681,-25.391,-16.602,-38.574,-30.762
1683641582.684,-39.551,-26.367,-29.785,-34.180
1683641582.688,-42.969,-46.387,-31.250,-41.504
1683641582.692,-38.086,-42.969,-21.973,-46.387
1683641582.696,-34.180,-35.645,-17.090,-39.551
1683641582.700,-31.738,-31.738,-36.133,-28.809
1683641582.702,-39.551,-35.645,-52.246,-35.645
1683641582.706,-41.016,-24.902,-46.387,-41.992
1683641582.710,-35.156,-24.414,-23.926,-42.480
1683641582.714,-35.156,-34.180,-19.043,-47.363
1683641582.718,-27.832,-30.273,-38.086,-40.039
1683641582.722,-35.156,-44.922,-49.316,-41.016
1683641582.726,-38.086,-44.922,-37.598,-46.387
1683641582.729,-26.855,-37.598,-37.598,-42.480
1683641582.733,-30.273,-34.668,-33.203,-35.156
1683641582.737,-34.180,-43.457,-18.555,-35.156
1683641582.741,-31.738,-50.781,-19.043,-44.922
1683641582.745,-39.551,-41.016,-26.855,-44.434
1683641582.747,-38.574,-36.621,-29.785,-39.062
1683641582.751,-27.832,-27.344,-19.043,-35.645
1683641582.755,-27.832,-22.461,-19.531,-26.855
1683641582.759,-33.203,-40.039,-41.504,-31.738
1683641582.763,-30.762,-44.434,-50.293,-37.109
1683641582.767,-31.738,-41.016,-31.250,-37.598
1683641582.771,-28.320,-30.273,-14.648,-25.391
1683641582.774,-21.484,-19.531,-16.113,-18.555
1683641582.778,-27.832,-29.785,-34.668,-32.715
1683641582.782,-37.109,-33.203,-36.133,-41.504
1683641582.786,-47.852,-32.227,-15.625,-45.898
1683641582.790,-44.434,-41.992,-8.301,-47.852
1683641582.792,-36.621,-41.992,-26.367,-42.480
1683641582.796,-44.434,-41.504,-37.598,-41.016
1683641582.800,-51.758,-45.898,-42.480,-43.457
1683641582.804,-51.758,-51.270,-48.828,-45.410
1683641582.808,-41.016,-39.551,-28.809,-34.668
1683641582.812,-34.668,-30.762,-14.160,-25.391
1683641582.816,-31.738,-32.227,-25.879,-23.438
1683641582.819,-33.203,-36.133,-37.598,-29.297
1683641582.823,-35.156,-32.715,-23.438,-31.738
1683641582.827,-32.715,-34.668,-11.719,-27.344
1683641582.831,-29.785,-41.016,-17.578,-29.785
1683641582.835,-26.855,-38.574,-32.715,-33.691
1683641582.792,-36.621,-41.992,-26.367,-42.480
1683641582.796,-44.434,-41.504,-37.598,-41.016
1683641582.800,-51.758,-45.898,-42.480,-43.457
1683641582.804,-51.758,-51.270,-48.828,-45.410
1683641582.808,-41.016,-39.551,-28.809,-34.668
1683641582.812,-34.668,-30.762,-14.160,-25.391
1683641582.816,-31.738,-32.227,-25.879,-23.438
1683641582.819,-33.203,-36.133,-37.598,-29.297
1683641582.823,-35.156,-32.715,-23.438,-31.738
1683641582.827,-32.715,-34.668,-11.719,-27.344
1683641582.831,-29.785,-41.016,-17.578,-29.785
1683641582.835,-26.855,-38.574,-32.715,-33.691
1683641582.852,-24.902,-38.574,-44.922,-30.762
1683641582.856,-22.949,-42.969,-40.039,-31.250
1683641582.860,-18.066,-40.527,-18.066,-27.344
1683641582.864,-10.254,-32.715,-31.738,-21.973
1683641582.868,-8.789,-40.039,-56.641,-25.391
1683641582.872,-22.461,-40.527,-38.574,-37.109
1683641582.876,-31.738,-43.457,-20.508,-41.016
1683641582.879,-32.715,-54.688,-25.391,-35.645
1683641582.883,-23.926,-48.340,-26.367,-33.203
1683641582.887,-20.996,-43.945,-21.484,-34.180
1683641582.891,-30.273,-48.828,-36.133,-38.086
1683641582.895,-38.574,-49.316,-37.109,-45.898
1683641582.852,-24.902,-38.574,-44.922,-30.762
1683641582.856,-22.949,-42.969,-40.039,-31.250
1683641582.860,-18.066,-40.527,-18.066,-27.344
1683641582.864,-10.254,-32.715,-31.738,-21.973
1683641582.868,-8.789,-40.039,-56.641,-25.391
1683641582.872,-22.461,-40.527,-38.574,-37.109
1683641582.876,-31.738,-43.457,-20.508,-41.016
1683641582.879,-32.715,-54.688,-25.391,-35.645
1683641582.883,-23.926,-48.340,-26.367,-33.203
1683641582.887,-20.996,-43.945,-21.484,-34.180
1683641582.891,-30.273,-48.828,-36.133,-38.086
1683641582.895,-38.574,-49.316,-37.109,-45.898
1683641582.897,-31.738,-43.457,-23.926,-38.574
1683641582.901,-20.996,-33.691,-22.949,-30.273
1683641582.905,-22.461,-25.391,-39.551,-29.297
1683641582.909,-30.762,-42.969,-62.012,-32.227
1683641582.913,-40.039,-52.246,-57.617,-43.945
1683641582.917,-40.527,-41.992,-18.066,-47.852
1683641582.921,-20.020,-36.133,4.883,-38.574
1683641582.924,-12.695,-30.762,-17.578,-32.227
1683641582.928,-20.020,-36.621,-29.297,-37.109
