timestamps,TP9,AF7,AF8,TP10
1683641384.881,-35.645,-21.973,-33.691,-36.621
1683641384.885,-43.457,-35.156,-40.039,-42.969
1683641384.889,-47.363,-33.203,-32.227,-41.992
1683641384.893,-38.574,-21.484,-19.531,-28.809
1683641384.897,-18.555,-19.043,-13.672,-22.461
1683641384.901,-22.461,-22.949,-22.949,-32.715
1683641384.905,-42.969,-25.879,-27.832,-44.434
1683641384.908,-47.363,-31.250,-15.137,-47.852
1683641384.912,-41.992,-31.738,-14.160,-41.992
1683641384.916,-36.621,-26.855,-20.020,-36.133
1683641384.920,-33.691,-24.414,-29.297,-37.109
1683641384.924,-34.180,-31.738,-36.621,-41.504
1683641384.926,-30.273,-35.156,-31.250,-38.574
1683641384.930,-20.508,-31.250,-16.602,-31.250
1683641384.934,-14.160,-20.508,-6.348,-24.902
1683641384.938,-14.648,-16.113,-16.113,-16.602
1683641384.942,-26.367,-26.855,-33.203,-24.902
1683641384.946,-35.645,-32.715,-31.738,-40.527
1683641384.950,-30.762,-28.809,-9.766,-35.645
1683641384.953,-13.672,-26.367,-3.418,-22.949
1683641384.957,-19.531,-26.855,-25.879,-20.996
1683641384.961,-32.715,-29.785,-39.062,-35.156
1683641384.965,-34.668,-32.715,-37.109,-43.945
1683641384.969,-27.344,-28.809,-24.902,-37.598
1683641384.971,-26.855,-26.367,-18.555,-27.344
1683641384.975,-30.273,-22.949,-26.855,-25.391
1683641384.979,-25.879,-25.879,-36.133,-36.133
1683641384.983,-38.086,-33.203,-33.203,-46.875
1683641384.987,-41.504,-35.645,-23.438,-49.805
1683641384.991,-28.320,-27.344,-13.184,-38.574
1683641384.995,-23.438,-23.438,-8.789,-33.691
1683641384.998,-33.203,-26.855,-23.926,-41.992
1683641385.002,-41.504,-43.457,-45.410,-57.129
1683641385.006,-35.645,-53.223,-36.621,-55.664
1683641385.010,-24.902,-40.039,-13.184,-41.992
1683641385.014,-21.973,-34.180,-15.137,-38.086
1683641385.016,-29.785,-36.133,-29.297,-36.621
1683641385.020,-44.434,-42.480,-40.527,-41.016
1683641385.024,-52.734,-47.852,-31.250,-41.016
1683641385.028,-42.480,-37.109,-18.555,-27.832
1683641385.032,-29.297,-31.250,-21.973,-24.414
1683641385.036,-33.203,-32.715,-29.297,-30.762
1683641385.040,-35.156,-30.762,-31.738,-40.527
1683641385.043,-37.598,-28.809,-28.809,-40.527
1683641385.047,-40.039,-26.367,-17.578,-31.250
1683641385.051,-20.020,-27.832,-18.555,-30.273
1683641385.055,-15.625,-26.367,-35.156,-27.832
1683641385.059,-29.785,-30.762,-42.480,-33.203
1683641385.076,-22.461,-28.320,-32.227,-34.668
1683641385.080,-19.043,-24.902,-18.555,-23.438
1683641385.084,-28.320,-27.344,-16.113,-22.949
1683641385.088,-35.156,-31.738,-30.273,-29.297
1683641385.092,-46.387,-34.180,-40.039,-31.738
1683641385.096,-51.270,-36.621,-28.809,-39.062
1683641385.100,-44.922,-31.738,-15.625,-41.016
1683641385.103,-40.527,-26.855,-23.438,-33.203
1683641385.107,-43.457,-36.133,-29.297,-40.527
1683641385.111,-55.664,-47.852,-28.320,-57.617
1683641385.115,-55.664,-50.293,-44.434,-62.500
1683641385.119,-52.734,-51.758,-34.668,-54.199
